id,statement,origin_groups,n_origin_groups,primary_sources,disinterested_sources,gate_2plus_groups,gate_primary,gate_disinterested,verdict,reason,n_anchors
C1,"Consolidation in deployed agent-memory systems is realized as LLM-prompted abstraction of raw interaction records into higher-level text artifacts (summaries, facts, reflections), not as parametric weight update.",BUPT; CAS; EverMind/Shanda; Stanford; Sun Yat-sen; Vectorize.io; unknown-memgpt,7,generative_agents; memgpt; memorybank; memoryos; recursive_summarize; hindsight_2020; evermemos,survey_memory_age; survey_graph_mem,True,True,True,CONSENSUS,7 systems from 6 distinct institutions; NUS survey states token-level memory is the most common form and the graph survey independently describes LLM-extraction write paths.,25
C2,"Consolidation is triggered by a crossing of an accumulated quantity (importance sum, token/segment count, surprise, heat) rather than by a wall-clock schedule.",BUPT; China Mobile; EverMind/Shanda; Huawei; Kennesaw State; MIRIX AI; Stanford,7,generative_agents; memgpt; memoryos; ehm_infinite_ctx; mirix; sleep_consolidation; fsfm_forgetting; evermemos,survey_memory_age,True,True,True,CONSENSUS,8 systems across 7 institutions converge on threshold semantics; survey corroborates formation/evolution operators as event-driven. Cadence VALUES diverge over five orders of magnitude — the convergence is on the trigger TYPE only.,18
C3,"Where time-decay is implemented, it overwhelmingly modulates a retrieval-ranking score rather than deleting stored content; the item persists and merely becomes harder to surface.",BUPT; EverMind/Shanda; HKUST; Huawei; Stanford; Vectorize.io,6,generative_agents; memoryos; hindsight_2020; ehm_infinite_ctx; evermemos; licomemory,survey_memory_age; survey_graph_mem,True,True,True,CONSENSUS,"6 systems from 6 institutions; corroborated by both surveys' description of retrieval-side pruning. Matches ACT-R's own licence (COG-04): base-level activation governs retrieval probability, not deletion.",16
C4,"Per-item timestamp is the near-universal provenance field and, in most systems, the only one; source-pointer provenance for audit is largely absent, and no corpus system surfaces provenance for audit.",BUPT; ECNU; EverMind/Shanda; MIRIX AI; Mem0 Inc; Ohio State; Rutgers; Stanford; Sun Yat-sen; Vectorize.io,10,generative_agents; memorybank; memoryos; mirix; evermemos; hindsight_2020; echo_temporal; mem0; a_mem; hipporag,survey_mem_security; users_expectations; metaphors_memory,True,True,True,CONSENSUS,Absence established across both engineering tracks (7 architecture systems timestamp-only; 6 of 11 retrieval systems specify no provenance at all). Security survey names provenance a requirement with no benchmark; two HCI studies establish users want it.,20
C5,A four-operation write vocabulary (ADD / UPDATE / DELETE / NOOP or direct equivalents) is the closest thing to a de facto standard for memory maintenance.,Alibaba; LMU Munich; Mem0 Inc,3,mem0; memory_r1; agentic_mem_unified,survey_memory_age; survey_graph_mem,True,True,True,CONSENSUS,"3 institutions; NUS survey explicitly credits Mem0 with establishing standardized maintenance operations, and the graph survey describes the same conflict-detection/update phase generically.",12
C6,Prompted LLM judgment — not learned policy and not fixed rules — is the default mechanism deciding what enters or changes memory.,Arizona State; Mem0 Inc; Ohio State; Rutgers; Zep AI; unknown-simplemem,6,mem0; a_mem; zep; rmm; hipporag2; simplemem,survey_graph_mem; survey_memory_age; empirical_mem_mgmt,True,True,True,CONSENSUS,6 systems / 5+ institutions; graph survey describes LLM extraction+integration as the standard write path. Harvard-led ACL 2026 study independently shows the judge's RELIABILITY is what determines whether this helps or harms.,15
C7,Dense embedding similarity alone is insufficient for memory retrieval; independent groups add a lexical/sparse channel or an IDF-analogue for the same stated reason (semantic similarity misses specific entities and does not guarantee relevance).,BAAI; Ohio State; Zep AI; unknown-simplemem,4,zep; simplemem; gam_deep_research; hipporag,survey_graph_mem,True,True,True,CONSENSUS,4 groups converge; HK PolyU graph survey states outright that similarity does not guarantee relevance and enumerates its limitations.,12
C8,The best-supported measured benefit of an agent memory layer over full-context prompting is cost reduction at competitive accuracy — not an accuracy gain.,Edinburgh; UIUC; UT Dallas,3,eval_ltm_lcqa; simple_strong_baseline,eval_ltm_lcqa; anatomy_agentic_memory,True,True,True,CONSENSUS,"Edinburgh (disinterested, EurIPS 2025 workshop) measures >90% token reduction at competitive accuracy; UIUC finds full-context beats 4 of 5 memory systems on accuracy; UT Dallas independently reports cost is large and mostly unreported.",14
C9,Dedicated agentic-memory systems do not consistently outperform plain retrieval or no-memory baselines outside conversational QA; positive published results are concentrated on LoCoMo-style benchmarks.,Edinburgh; Genies/ASU; Google DeepMind; Tsinghua,4,memorybench; evo_memory; eval_ltm_lcqa; recall_to_forgetting,memorybench; evo_memory; eval_ltm_lcqa; recall_to_forgetting,True,True,True,CONSENSUS,"Four independent evaluator groups, none of which built the systems tested. Tsinghua explicitly diagnoses the contradiction with prior results as benchmark scope; DeepMind/UIUC show several systems fall BELOW a no-memory baseline.",22
C10,"Memory management policy (what is admitted and what is deleted) drives long-horizon agent performance more than memory architecture does, and unfiltered accumulation actively degrades performance.",Google DeepMind; Harvard; Tsinghua,3,empirical_mem_mgmt; evo_memory,empirical_mem_mgmt; evo_memory; memorybench,True,True,True,CONSENSUS,Harvard/UGA/MSU ACL 2026 controlled policy manipulation across three independent agent frameworks (+10% absolute from selective addition plus deletion); DeepMind/UIUC streaming benchmark independently shows unfiltered accumulation adds retrieval noise.,13
C11,Procedural memory — reusable skills or routines as opposed to facts — is essentially absent from deployed agent-memory systems and from their evaluation.,Alibaba; Arizona State; BAAI; HKUST; LMU Munich; Mem0 Inc; Ohio State; Rutgers; Zep AI,9,mem0; a_mem; zep; hipporag; hipporag2; memory_r1; rmm; simplemem; gam_deep_research; licomemory; agentic_mem_unified,eval_ltm_lcqa; survey_graph_mem,True,True,True,CONSENSUS,"Uniform absence across all 11 retrieval-track systems from 9 institutions. Graph survey defines the category; Edinburgh is the only corpus source that evaluates it at all (via prompt optimization on QA, where it underperformed).",12
C12,"The conversational agent-memory benchmarks are measuring something narrower and more saturation-prone than long-term memory: all are synthetic or LLM-generated, full-context baselines are competitive at their scale, and system rankings are not stable across scoring protocols.",Edinburgh; Tsinghua; UIUC; USM; UT Dallas,5,locomo; longmemeval; memorybench; anatomy_agentic_memory; scoring_targets,anatomy_agentic_memory; scoring_targets; memorybench; eval_ltm_lcqa,True,True,True,CONSENSUS,UT Dallas shows F1-vs-semantic-judge rankings disagree; USM shows nDCG changes on 83.4-94.0% of queries when only the credited scoring target changes; Tsinghua shows LoCoMo-only positive results do not generalize; Edinburgh documents non-comparable prompt protocols across papers.,25
C13,"Appeals to cognitive science in the engineering literature are predominantly motivational rather than derivational: the most-cited anchor (the Ebbinghaus curve) does not license the decay laws built on it, and the CLS/hippocampal argument does not license the two-tier caches that cite it.",China Mobile; ECNU; EverMind/Shanda; Huawei; IBM; Kennesaw State; MIRIX AI; Sun Yat-sen,8,murre_dros_2015; rubin_wenzel_1996; nader_2000; anderson_2004_actr; cepeda_2006,survey_memory_age; survey_rethinking; murre_dros_2015; rubin_wenzel_1996,True,True,True,CONSENSUS,Cognitive-science primaries themselves are the disinterested check: Murre & Dros state Ebbinghaus's equations may lack general applicability; Rubin & Wenzel cannot distinguish the best 4 of 105 functions; Nader states reconsolidation is not universal. 8 systems invoke named cognitive sources; the audit found 10 specific unsupported transfers.,30
D1,Graph-structured memory outperforms flat vector retrieval.,UIUC,1,simple_strong_baseline,,False,True,False,DISPUTED (interested evidence only),FAILS disinterested test. The only positive evidence is a within-system ablation by authors ablating their own graph variant; no disinterested end-to-end comparison isolates graph structure. UT Dallas independently reports graph systems' cost/robustness penalties. Demoted to DISPUTED.,6
D2,An LLM relevance filter over retrieved candidates is the single highest-value retrieval component.,UIUC,1,simple_strong_baseline,,False,True,False,SINGLE-SOURCE,"FAILS 2-group and disinterested tests. Largest reported ablation effect, but one paper, authors ablating their own component. SINGLE-SOURCE.",3
D3,Reinforcement learning on outcome reward is the right way to decide memory writes (reward the memory manager by a frozen consumer's answer accuracy).,Alibaba; Arizona State; BAAI; LMU Munich,4,memory_r1; gam_deep_research; agentic_mem_unified; rmm,,True,True,False,CONVERGENT BUT UNCORROBORATED,"FAILS disinterested test despite 4 independent groups converging on the same reward architecture — a striking convergence, but every performance claim is author-run and no third party has evaluated any of them.",11
D4,Temporal edge invalidation (non-destructive contradiction handling) is superior to destructive overwrite.,Mem0 Inc; Zep AI,2,zep; mem0,survey_graph_mem,True,True,True,"DESCRIBED DIVERGENCE, NO COMPARATIVE EVIDENCE","Passes the letter of the gate on mechanism DESCRIPTION, but no evidence compares the two policies head-to-head on any benchmark. Recorded as a described divergence, not a performance claim.",8
D5,Ebbinghaus-style decay functions improve agent memory performance.,China Mobile; Sun Yat-sen,2,memorybank; fsfm_forgetting,,True,True,False,DISPUTED (contradicted by cognitive primaries),"FAILS disinterested test AND fails the cognitive licence. Two groups implement it, both author-run; the cognitive primaries (Murre & Dros, Rubin & Wenzel) explicitly deny that any specific functional form is established.",9
D6,Larger retrieval / injection budgets improve answer quality.,UIUC,1,simple_strong_baseline,,False,True,False,SINGLE-SOURCE (null result),"FAILS. One interested hyperparameter sweep, reporting a FLAT curve above a moderate k — direction is null rather than positive.",2
D7,Sleep-like offline replay / consolidation cycles benefit agent memory.,Kennesaw State,1,sleep_consolidation,,False,True,False,SINGLE-SOURCE,"FAILS 2-group and disinterested tests. Single-author preprint; no independent evaluation, no corroborating system.",12
D8,Parametric / latent memory (writing experience into weights or a memory matrix) is a viable alternative to external text stores.,ECNU; IBM,2,larimar; echo_temporal,survey_memory_age,True,True,True,"DESIGN CLASS ATTESTED, PERFORMANCE UNEVALUATED","Existence of the design class passes (NUS survey names token-level/parametric/latent as the three realizations), but no disinterested evaluation compares parametric against token-level memory on any shared benchmark.",10
