source,url,date,type,key,title,authors,first_author_institution,year,venue,peer_reviewed,venue_evidence,doi,arxiv_id,oa_pdf_url,cited_by_count,category,interest_status,notes
Joon Sung Park 2023 — Generative Agents: Interactive Simulacra of Human Behavior,http://arxiv.org/abs/2304.03442v2,2023-04-07,system_paper,generative_agents,Generative Agents: Interactive Simulacra of Human Behavior,"Joon Sung Park; Joseph C. O'Brien; Carrie J. Cai; Meredith Ringel Morris (+2 more, 6 total)",Stanford University,2023,UIST 2023,UIST 2023,"Crossref: type=proceedings-article, container=""Proceedings of the 36th Annual ACM Symposium on User Interface Softwar"", publisher=""ACM""; DBLP: Conference and Workshop Papers @ UIST 2023",10.1145/3586183.3606763,2304.03442,https://arxiv.org/pdf/2304.03442v2,1581.0,engineering,author_of_system,"arXiv v2; DOI resolved on Crossref (title match: ""Generative Agents: Interactive Simulacra of Human ..."")"
Charles Packer 2023 — MemGPT: Towards LLMs as Operating Systems,http://arxiv.org/abs/2310.08560v2,2023-10-12,system_paper,memgpt,MemGPT: Towards LLMs as Operating Systems,"Charles Packer; Sarah Wooders; Kevin Lin; Vivian Fang (+3 more, 7 total)",,2023,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2310.08560,2310.0856,https://arxiv.org/pdf/2310.08560v2,48.0,engineering,author_of_system,"arXiv v2; comment: Code and data available at https://research.memgpt.ai; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Prateek Chhikara 2025 — Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,http://arxiv.org/abs/2504.19413v1,2025-04-28,system_paper,mem0,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,"Prateek Chhikara; Dev Khant; Saket Aryan; Taranjeet Singh (+1 more, 5 total)",MEMX (United States),2025,ECAI 2025,ECAI 2025,"Crossref: type=book-chapter, container=""Frontiers in Artificial Intelligence and Applications"", publisher=""IOS Press""; DBLP: Conference and Workshop Papers @ ECAI 2025",10.3233/FAIA251160,2504.19413,https://arxiv.org/pdf/2504.19413v1,30.0,engineering,author_of_system,"arXiv v1; DOI resolved on Crossref (title match: ""Mem0: Building Production-Ready AI Agents with Sca..."")"
Wujiang Xu 2025 — A-MEM: Agentic Memory for LLM Agents,http://arxiv.org/abs/2502.12110v11,2025-02-17,system_paper,a_mem,A-MEM: Agentic Memory for LLM Agents,"Wujiang Xu; Zujie Liang; Kai Mei; Hang Gao (+2 more, 6 total)",,2025,NeurIPS 2025,NeurIPS 2025,"arXiv comment/journal_ref states: ""NeurIPS 2025""",10.48550/arxiv.2502.12110,2502.1211,https://arxiv.org/pdf/2502.12110v11,9.0,engineering,author_of_system,"arXiv v11; comment: Advances in Neural Information Processing Systems (NeurIPS 2025); DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Preston Rasmussen 2025 — Zep: A Temporal Knowledge Graph Architecture for Agent Memory,http://arxiv.org/abs/2501.13956v1,2025-01-20,system_paper,zep,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,"Preston Rasmussen; Pavlo Paliychuk; Travis Beauvais; Jack Ryan (+1 more, 5 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2501.13956,2501.13956,https://arxiv.org/pdf/2501.13956v1,5.0,engineering,author_of_system,"arXiv v1; comment: 12 pages, 3 tables; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Bernal Jiménez Gutiérrez 2024 — HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,http://arxiv.org/abs/2405.14831v3,2024-05-23,system_paper,hipporag,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,"Bernal Jiménez Gutiérrez; Yiheng Shu; Yu Gu; Michihiro Yasunaga (+1 more, 5 total)",,2024,NeurIPS 2024,NeurIPS 2024,"Crossref: type=proceedings-article, container=""Advances in Neural Information Processing Systems 37"", publisher=""Neural Information Processing Systems Foundation, Inc. (NeurIPS)""; DBLP: Conference and Workshop Papers @ NeurIPS 2024; arXiv comment/journal_ref states: ""NeurIPS 2024""",10.52202/079017-1902,2405.14831,https://arxiv.org/pdf/2405.14831v3,55.0,engineering,author_of_system,"arXiv v3; comment: NeurIPS 2024. Code and data: https://github.com/OSU-NLP-Group/HippoRAG; DOI resolved on Crossref (title match: ""HippoRAG: Neurobiologically Inspired Long-Term Mem..."")"
Bernal Jiménez Gutiérrez 2025 — From RAG to Memory: Non-Parametric Continual Learning for Large Language Models,http://arxiv.org/abs/2502.14802v2,2025-02-20,system_paper,hipporag2,From RAG to Memory: Non-Parametric Continual Learning for Large Language Models,"Bernal Jiménez Gutiérrez; Yiheng Shu; Weijian Qi; Sizhe Zhou (+1 more, 5 total)",,2025,ICML 2025,ICML 2025,"DBLP: Conference and Workshop Papers @ ICML 2025; arXiv comment/journal_ref states: ""ICML 2025""",10.48550/arxiv.2502.14802,2502.14802,https://arxiv.org/pdf/2502.14802v2,2.0,engineering,author_of_system,"arXiv v2; comment: ICML 2025. Code and data are available at: https://github.com/OSU-NLP-Group/HippoRAG; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Wanjun Zhong 2023 — MemoryBank: Enhancing Large Language Models with Long-Term Memory,http://arxiv.org/abs/2305.10250v3,2023-05-17,system_paper,memorybank,MemoryBank: Enhancing Large Language Models with Long-Term Memory,"Wanjun Zhong; Lianghong Guo; Qiqi Gao; He Ye (+1 more, 5 total)",Sun Yat-sen University,2023,AAAI 2024,AAAI 2024,"Crossref: type=journal-article, container=""Proceedings of the AAAI Conference on Artificial Intelligence"", publisher=""Association for the Advancement of Artificial Intelligence (AAAI)""; DBLP: Conference and Workshop Papers @ AAAI 2024",10.1609/AAAI.V38I17.29946,2305.1025,https://arxiv.org/pdf/2305.10250v3,152.0,engineering,author_of_system,"arXiv v3; comment: 10 pages; DOI resolved on Crossref (title match: ""MemoryBank: Enhancing Large Language Models with L..."")"
Jiazheng Kang 2025 — Memory OS of AI Agent,http://arxiv.org/abs/2506.06326v1,2025-05-30,system_paper,memoryos,Memory OS of AI Agent,Jiazheng Kang; Mingming Ji; Zhe Zhao; Ting Bai (4 total),Beijing University of Posts and Telecommunications,2025,EMNLP 2025 (main),EMNLP 2025 (main),"Crossref: type=proceedings-article, container=""Proceedings of the 2025 Conference on Empirical Methods in Natural Lan"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ EMNLP 2025",10.18653/V1/2025.EMNLP-MAIN.1318,2506.06326,https://arxiv.org/pdf/2506.06326v1,9.0,engineering,author_of_system,"arXiv v1; DOI resolved on Crossref (title match: ""Memory OS of AI Agent..."")"
Yu Wang 2025 — MIRIX: Multi-Agent Memory System for LLM-Based Agents,http://arxiv.org/abs/2507.07957v1,2025-07-10,system_paper,mirix,MIRIX: Multi-Agent Memory System for LLM-Based Agents,Yu Wang; Xi Chen (2 total),,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2507.07957,2507.07957,https://arxiv.org/pdf/2507.07957v1,1.0,engineering,author_of_system,"arXiv v1; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
